,LATB,LNGB,price
186,22.815013,108.42233600000002,13496
187,22.783749,108.350255,11978
188,22.801298000000006,108.465708,26786
189,22.824488,108.41826,34286
190,22.782232,108.346856,10313
191,22.870734,108.408504,11000
192,22.826241,108.429165,14175
193,22.818132,108.348968,18452
194,22.800504,108.429898,13131
195,22.779952,108.357897,16547
196,22.838429,108.406413,12444
197,22.816074,108.33681599999998,17190
198,22.816032,108.407193,23329
199,22.798538,108.454328,11397
200,22.800504,108.429898,13111
201,22.82908,108.365634,11806
202,22.846691,108.387662,13718
203,22.788022,108.361159,15155
204,22.81209,108.397564,17901
205,22.817407,108.418403,14236
206,22.832589,108.40888,18646
207,22.818132,108.348968,22677
208,22.809736,108.407609,19610
209,22.800504,108.429898,15051
210,22.813223,108.404272,16367
211,22.839602,108.41071,10698
212,22.805763,108.429472,9291
213,22.816399,108.487697,10000
214,22.838429,108.406413,15476
215,22.834309,108.4194,15980
216,22.815013,108.42233600000002,15965
217,22.810188,108.387423,22854
218,22.821668,108.414058,16474
219,22.831745,108.414956,14981
220,22.779952,108.357897,15423
221,22.834833,108.417579,16573
222,22.800504,108.429898,13483
223,22.835281,108.41388899999998,21675
224,22.834868,108.367261,11258
225,22.783749,108.350255,11680
226,22.870734,108.408504,9485
227,22.798538,108.454328,10893
228,22.838429,108.406413,13158
229,22.817148,108.336791,17033
230,22.800504,108.429898,13226
231,22.804818,108.456869,9333
232,22.822093,108.42611,12580
233,22.846691,108.387662,13394
234,22.849897,108.386616,11506
235,22.870734,108.408504,10200
236,22.779952,108.357897,17519
237,22.849897,108.386616,13838
238,22.849232,108.389066,13721
239,22.870734,108.408504,9785
240,22.851182,108.389131,12932
241,22.836603,108.40915,15039
242,22.832011,108.42238799999998,17889
243,22.83756,108.379517,17629
244,22.832666,108.426085,12604
245,22.815324,108.424916,13908
246,22.800504,108.429898,14063
247,22.798538,108.454328,11599
248,22.819864000000006,108.341699,11654
249,22.813028,108.419053,12801
250,22.800504,108.429898,12636
251,22.800504,108.429898,13068
252,22.831745,108.414956,16479
253,22.870734,108.408504,10500
254,22.849897,108.386616,12953
255,22.849897,108.386616,13444
256,22.800504,108.429898,12069
257,22.807461,108.376775,17000
258,22.834868,108.367261,12288
259,22.815013,108.42233600000002,13383
260,22.779952,108.357897,16532
261,22.849232,108.389066,13745
262,22.846691,108.387662,13903
263,22.80455,108.369399,15375
264,22.780819,108.343255,10662
265,22.812494,108.424256,13786
266,22.813223,108.404272,15821
267,22.824008,108.38268,19353
268,22.838404,108.425194,7829
269,22.849897,108.386616,14294
270,22.845401000000006,108.425284,10935
271,22.810954,108.405838,21080
272,22.849897,108.386616,13615
273,22.812364,108.428001,13525
274,22.815013,108.42233600000002,15847
275,22.800728,108.455599,13926
276,22.81623,108.462245,7684
277,22.803805,108.371219,19885
278,22.815201,108.471218,7692
279,22.800504,108.429898,14182
280,22.815201,108.471218,7640
281,22.851182,108.389131,13918
282,22.870734,108.408504,12200
283,22.813028,108.419053,14706
284,22.832093,108.39088,18554
285,22.815686,108.340256,18933
286,22.818349,108.474596,13600
287,22.799885,108.373165,9302
288,22.82913,108.419332,15104
289,22.825645,108.391336,15968
290,22.839602,108.41071,11672
291,22.849897,108.386616,13275
292,22.846691,108.387662,13283
293,22.815324,108.424916,13542
294,22.832666,108.426085,13405
295,22.807461,108.376775,18077
296,22.8288,108.397556,14112
297,22.779952,108.357897,16667
298,22.811902,108.403828,17522
299,22.839602,108.41071,11681
300,22.817407,108.418403,14071
301,22.805969,108.399576,17002
302,22.815324,108.424916,13946
303,22.813028,108.419053,15341
304,22.813028,108.419053,13158
305,22.824801,108.344122,20514
306,22.823498,108.388731,15494
307,22.812494,108.424256,13868
308,22.849897,108.386616,14176
309,22.815201,108.471218,8974
310,22.798538,108.454328,11092
311,22.793463,108.499627,7659
312,22.80455,108.369399,18414
313,22.849232,108.389066,14790
314,22.779952,108.357897,17010
315,22.807461,108.376775,16549
316,22.836603,108.40915,13955
317,22.812494,108.424256,18287
318,22.846691,108.387662,12739
319,22.807461,108.376775,16429
320,22.783749,108.350255,12991
321,22.779952,108.357897,18214
322,22.800504,108.429898,12500
323,22.800504,108.429898,14865
324,22.807461,108.376775,15988
325,22.832589,108.40888,18689
326,22.808013,108.39918,17994
327,22.797197,108.359642,10400
328,22.800504,108.429898,13317
329,22.816853,108.466943,9338
330,22.810623,108.399987,19513
331,22.825918,108.38058,23762
332,22.813386,108.488059,16538
333,22.838343,108.402488,16114
334,22.825918,108.38058,18310
335,22.829226,108.34328700000002,15657
336,22.870734,108.408504,10200
337,22.832589,108.40888,19188
338,22.796959,108.36382,9903
339,22.800504,108.429898,12871
340,22.836603,108.40915,15977
341,22.800504,108.429898,13506
342,22.808349,108.360391,10909
343,22.800504,108.429898,14054
344,22.779952,108.357897,16139
345,22.815324,108.424916,13301
346,22.835281,108.41388899999998,18378
347,22.870734,108.408504,10276
348,22.836603,108.40915,17041
349,22.805763,108.429472,9864
350,22.818132,108.348968,18474
351,22.812364,108.428001,22793
352,22.809474,108.405529,21250
353,22.779952,108.357897,16461
