ID,SID,Citys,Titles,Address,REF,TEL,FAX,WWW,Region,RID,RIDS,ACC,MID,XID,LATB,LNGB,Elevation,Zoom,B_E,B_SYNC,B_WEB,adcode,province,city,district,township,poi_lat,poi_lng,poi_name,poi_addr,poi_type
46,"0","南宁市","0","安吉客运站地铁站","0","0","0","0","0",0,0,4,2,2,22.8844550120152,108.305817044672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"0","南宁市","0","北湖北路站地铁站","0","0","0","0","0",0,0,4,2,2,22.8687275647634,108.325893305051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,"0","南宁市","0","秀峰路站地铁站","0","0","0","0","0",0,0,4,2,2,22.8680529040872,108.335551493331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"0","南宁市","0","邕武路站地铁站","0","0","0","0","0",0,0,4,2,2,22.885228561306,108.349250909269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"0","南宁市","0","大鸡村站地铁站","0","0","0","0","0",0,0,4,2,2,22.8226066011872,108.373450825819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"0","南宁市","0","兴桂路站地铁站","0","0","0","0","0",0,0,4,2,2,22.8694486846445,108.37234186587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"0","南宁市","0","小鸡村站地铁站","0","0","0","0","0",0,0,4,2,2,22.8226066011872,108.373450825819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,"0","南宁市","0","东沟岭站地铁站","0","0","0","0","0",0,0,4,2,2,22.8577476913976,108.353483111288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"0","南宁市","0","长堽路站地铁站","0","0","0","0","0",0,0,4,2,2,22.8435788872023,108.366709670884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"0","南宁市","0","东葛路站地铁站","0","0","0","0","0",0,0,4,2,2,22.8335214852907,108.362242435313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"0","南宁市","0","滨湖路站地铁站","0","0","0","0","0",0,0,4,2,2,22.8219830382918,108.369756686342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,"0","南宁市","0","金湖广场站地铁站","0","0","0","0","0",0,0,4,2,2,22.8205457272448,108.376795576553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"0","南宁市","0","埌西站地铁站","0","0","0","0","0",0,0,4,2,2,22.894263677416,107.981228362315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"0","南宁市","0","青竹立交站地铁站","0","0","0","0","0",0,0,4,2,2,22.803254323191,108.366508176467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,"0","南宁市","0","青秀山站地铁站","0","0","0","0","0",0,0,4,2,2,22.8363047355967,108.358384086488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"0","南宁市","0","市博物馆站地铁站","0","0","0","0","0",0,0,4,2,2,22.8226066011872,108.373450825819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,"0","南宁市","0","总部基地站地铁站","0","0","0","0","0",0,0,4,2,2,22.7640068435762,108.385886697803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,"0","南宁市","0","广西规划馆站地铁站","0","0","0","0","0",0,0,4,2,2,22.7609423789064,108.380840556433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,"0","南宁市","0","庆歌路站地铁站","0","0","0","0","0",0,0,4,2,2,22.7565213020823,108.395696941359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"0","南宁市","0","五象湖站地铁站","0","0","0","0","0",0,0,4,2,2,22.7482845414498,108.384171922416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,"0","南宁市","0","平良立交站地铁站","0","0","0","0","0",0,0,4,2,2,23.2334486196762,108.13100221113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
